B65H23/28	長手方向に延びたストリップ，チューブ，板体またはワイヤによるもの（可撓性テープまたはバンドＢ６５Ｈ２３／３０）
B65H23/30	長手方向に延びる可撓性テープまたはバンドによるもの
B65H23/32	ウエブを傾動または反転する装置
B65H23/34	ウエブからカールを取除く装置
B65H26/00	ウエブ送給機構のための警報または安全装置，例．自動故障検知装置，運動停止（安全装置一般Ｆ１６Ｐ；材料の化学的または物理的性質の調査一般Ｇ０１Ｎ；表示装置一般Ｇ０８Ｂ）
B65H26/02	走行ウエブの異常状態に応答するもの
B65H26/025	｛ウェブの破損に応答するもの｝
B65H26/04	張力の変動によるもの
B65H26/06	所定長のウエブに応答するもの
B65H26/063	｛トレーリング端縁の検出に応答するもの｝
B65H26/066	｛ウエブまたはウエブロール上の情報，例．印刷されたマークに応答するもの｝
B65H26/08	所定径に応答するもの
B65H27/00	供給または案内ローラおよびそれらの表面の特殊構造　（｛幅出しローラＢ６５Ｈ２３／０２｝；ローラ一般Ｆ１６Ｃ１３／００）
B65H29/00	機械からの物品の排送または送給；堆積物へのまたはその中への物品の送給
B65H29/001	｛計数装置の調節（機械への物品の供給に対する調整Ｂ６５Ｈ５／００２）｝
B65H29/003	｛物品の横端部に係合する機械的グリッパを持つチェーンまたはバンドによるもの，例．新聞コンベヤ｝
B65H29/005	｛物品，例．新聞紙のコンベヤの側方端縁に係合する機械的グリッパーを有するチェーンまたはバンドによるもの｝
B65H29/006	｛ロールへの物品の巻取り｝
B65H29/008	｛各物品のそれぞれ別のローラへの巻取り｝
