B	処理操作；運輸
B60W	異なる種類または異なる機能の車両用サブユニットの関連制御；ハイブリッド車両に特に適した制御システム；特定の単一のサブユニットの制御に関するものではない、特定の目的のための道路走行用車両の運動制御システム<br><br><u>注</u><br><br>１．このサブクラスには単一のサブユニットの制御は包含されない。単一のサブユニットの制御はそのサブユニットの関連箇所，例．Ｆ０２Ｄ，Ｆ１６Ｈ，に分類する。単一のサブユニットが他のサブユニットからの信号又は指令によって制御される場合にこのサブユニットの制御はこのサブユニットの関連箇所に分類する。例えば，機関又は加速装置からの信号による可変速伝動装置の制御は伝動装置のサブクラスＦ１６Ｈに分類する。<br> ２．たとえば機関のような動力伝達経路上のサブユニットと，変速シフト中の過渡的なものであって伝動装置の制御にも特徴がある変速伝動装置，との関連制御は伝動装置のサブクラスＦ１６Ｈにも分類する。<br>３．グループＢ６０Ｗ１０／００に分類する場合，制御の目的又は用途を特定するためにグループＢ６０Ｗ２０／００〜Ｂ６０Ｗ６０／００にも分類する。<br>４．このサブクラスにおいては，下記の用語は以下に示す意味で用いる：<br>―関連制御とは，異なる種類又は異なる機能のサブユニットの制御ロジックを具現化する，プログラムされ又は状態に応じて作動する車載の自動制御器が，２以上のサブユニットのアクチュエータに制御信号を送ることによって，それらのサブユニットが特定の問題を解決するために又は特定の運転状態に応じて協働することを意味する。<br>―運動制御システムとは，道路上の車両に特定の動作を行わせるためにその車両の動きを自動的に制御する車載の電子的なシステムを意味する。<br>―道路走行用車両とは，道路上を移動する原動逆き車両を意味する，例．自動車，トラック，バス<br>―自律的な道路走行用車両とは，リアルタイムに意思決定プロセスを実行するための車載のコンピュータハードウェアとソフトウェアとを使用して，人の介入なく全ての動的な運転タスクを制御可能な道路走行用車両を意味する。<br>―サブユニットとは，以下の車両装置のうちの１つを意味する：推進装置，駆動系のクラッチ，変速伝動装置，前後軸への駆動トルク分配装置，車軸差動装置，制動装置，操向装置，懸架装置，エネルギ蓄積手段，燃料電池又は付属装置<br><br><u>警告</u><br><br>このサブクラスにおいては（ＩＰＣ指針第３９段落の意味における）非限定参照も分類表において依然として表示される。
B60Y	横断的な車両技術の観点に関するインデキシング系列
B61	鉄道<br>このクラスにおいては，下記の表現は以下に示す意味で用いる:<br>―鉄道方式は，以下のものを包含する:<br>（ａ）列車，個々の旅客車両，荷物運搬器を車輪やローラ用の軌条，ロープ，ケーブルまたは他の案内素子，あるいは滑走する非摩擦装置によって，限定された地面または高架軌道を案内走行する方式（連続けん引要素に常時取り付けられるものＢ６５Ｇ１７／００）；<br>（ｂ）人間や荷物用の運搬器あるいは推進器を取り付けている方法，例．懸架形式，動きうる通路を定めた案内引張りロープあるいはケーブル（チェンコンベヤ，スクレーパコンベヤＢ６５Ｇ１７／００，Ｂ６５Ｇ１９／００）；<br>（ｃ）車両，荷物運搬器または荷物が，連続した引張り部材，例．ケーブル，チェーン，に対して選択的に連結されるか，または連結を解かれるようになっている上記タイプのいずれかの方式すなわちパワーアンドフリー方式
B61B	鉄道方式；他に分類されない設備（リフトまたはホイスト，エレベータ，エスカレータ，移動歩道Ｂ６６Ｂ）<br><br><u>注</u><br><br>このサブクラスにおいては，下記の用語は以下に示す意味で用いる：<br>−ロープ鉄道は，牽引または懸吊手段としてケーブルまたはチェーンを使用する鉄道を包含する；<br>−ロープ，ケーブルまたはチェーンの各語は，特別の記載がない限り，同等のものである。<br><br><u>警告</u><br><br>このサブクラスにおいては（ＩＰＣ指針第３９段落の意味における）非限定参照も分類表において依然として表示される。
B61C	機関車；動力車（車両一般Ｂ６０；フレームまたはボギーＢ６１Ｆ；機関車のための特別な鉄道線路の設備Ｂ６１Ｊ，Ｂ６１Ｋ）<br><br><u>注</u><br><br>このサブクラスは以下のものを包含する：<br>−機関車の一般の設計上の特徴または事項および他に分類されていない動力車；<br>−電気機関車の非電気的な特徴<br><br><u>警告</u><br><br>このサブクラスにおいては（ＩＰＣ指針第３９段落の意味における）非限定参照も分類表において依然として表示される。
B61D	鉄道車両の種類または車体細部（特殊機構の車両Ｂ６１Ｂ；台枠Ｂ６１Ｆ；車両一般Ｂ６０）<br><br><u>警告</u><br><br>このサブクラスにおいては（ＩＰＣ指針第３９段落の意味における）非限定参照も分類表において依然として表示される。
B61F	鉄道車両懸架装置，例．台枠，台車または車軸装置；異なる軌間に使用する鉄道車両；鉄道車両の脱線防止；鉄道車両の車輪保護装置，障害物除去装置または類似のもの（車両用一般Ｂ６０；車軸または車輪Ｂ６０Ｂ；車両用タイヤＢ６０Ｃ）<br><br><u>警告</u><br><br>このサブクラスにおいては（ＩＰＣ指針第３９段落の意味における）非限定参照も分類表において依然として表示される。
B61G	連結器；引張および緩衝装置（車両結合一般Ｂ６０Ｄ）<br><br><u>警告</u><br><br>このサブクラスにおいては（ＩＰＣ指針第３９段落の意味における）非限定参照も分類表において依然として表示される。
B61H	鉄道車両に特に適した制動装置またはその他の減速装置；鉄道車両内に於けるその配列または配置（車両の電気的制動Ｂ６０Ｌ，一般Ｈ０２Ｋ；鉄道車両において，車両または軌道の状態変化に応じて車輪制動力を調整するための装置Ｂ６０Ｔ８／００；補助動力または駆動動力を用いて初動装置から最終制動作動器への制動動作の伝達，そのような伝達装置が組み込まれた制動方式，例．空気圧制動方式，Ｂ６０Ｔ１３／００；動力制動方式に組み込まれる弁の構造，配列，または動作Ｂ６０Ｔ１５／００；制動方式の構成部品，細部または付属品Ｂ６０Ｔ１７／００；制動装置一般Ｆ１６Ｄ）<br><br><u>警告</u><br><br>このサブクラスにおいては（ＩＰＣ指針第３９段落の意味における）非限定参照も分類表において依然として表示される。
B61J	鉄道車両を移動するものまたは入れ換えするもの（車両を移動するもの一般Ｂ６０Ｓ；操車系統Ｂ６１Ｂ）<br><br><u>警告</u><br><br>このサブクラスにおいては（ＩＰＣ指針第３９段落の意味における）非限定参照も分類表において依然として表示される。
B61K	鉄道のための他の補助装置（エネルギー蓄積制動Ｂ６１Ｈ；天候の影響に対する軌道の保護Ｅ０１Ｂ；軌条清掃，除雪Ｅ０１Ｈ）<br><br><u>警告</u><br><br>このサブクラスにおいては（ＩＰＣ指針第３９段落の意味における）非限定参照も分類表において依然として表示される。
B61L	鉄道交通の案内；鉄道交通の保安（制動装置または補助装置Ｂ６１Ｈ，Ｂ６１Ｋ；転てつ器またはてっさの構成Ｅ０１Ｂ）
B62	鉄道以外の路面車両
B62B	　手動推進車両，例．ハンドカート，乳母車；そり<br><br><u>｛注</u><br><br>　以下のＩＰＣグループはＥＣＬＡ分類表では使用されない。これらのグループに包含される主題事項は，以下の各ＥＣＬＡグループに分類する:Ｂ６２Ｂ３／０６５はＢ６２Ｂ３／０６Ｂ４に包含。｝<br><br><u>注</u><br><br>１．　このサブクラスにおいては　ハンドカートという用語は，ハンドカートに特徴のあるかぎり手動推進車輪付装置も含み，この用語はまたハンドカートに特徴のあるかぎり歩行制御動力駆動車両も含む。２．　ローラは，車輪と同等に解釈される。
