G06F3/0325	11	{using a plurality of light emitters or reflectors or a plurality of detectors forming a reference frame from which to derive the orientation of the object, e.g. by triangulation or on the basis of reference deformation in the picked up image}	G06F3/03	G06F3/03		915
G06F3/033	10	Pointing devices displaced or positioned by the user {, e.g. mice, trackballs, pens or joysticks}; Accessories therefor (digitisers characterised by the transducing means G06F3/041)	G06F3/033	G06F3/033		3234
G06F3/0334	11	{Foot operated pointing devices}	G06F3/033	G06F3/033		466
G06F3/0338	11	with detection of limited linear or angular displacement of an operating part of the device from a neutral position, e.g. isotonic or isometric joysticks	G06F3/0338	G06F3/0338		2906
G06F3/0346	11	with detection of the device orientation or free movement in a 3D space, e.g. 3D mice, 6-DOF [six degrees of freedom] pointers using gyroscopes, accelerometers or tilt-sensors	G06F3/0346	G06F3/0346		11061
G06F3/0354	11	with detection of 2D relative movements between the device, or an operating part thereof, and a plane or surface, e.g. 2D mice, trackballs, pens or pucks	G06F3/0354	G06F3/0354		2968
G06F3/03541	12	{Mouse/trackball convertible devices, in which the same ball is used to track the 2D relative movement}	G06F3/0354	G06F3/0354		573
G06F3/03542	12	{Light pens for emitting or receiving light}	G06F3/0354	G06F3/0354		1086
G06F3/03543	12	{Mice or pucks (G06F3/03541 takes precedence)}	G06F3/0354	G06F3/0354		7764
G06F3/03544	13	{having dual sensing arrangement, e.g. two balls or two coils used to track rotation of the pointing device}	G06F3/0354	G06F3/0354		153
G06F3/03545	12	{Pens or stylus}	G06F3/0354	G06F3/0354		10985
G06F3/03546	13	{using a rotatable ball at the tip as position detecting member}	G06F3/0354	G06F3/0354		218
G06F3/03547	12	{Touch pads, in which fingers can move on a surface}	G06F3/0354	G06F3/0354		6792
G06F3/03548	12	{Sliders, in which the moving part moves in a plane}	G06F3/0354	G06F3/0354		469
G06F3/03549	12	{Trackballs (G06F3/03541 takes precedence)}	G06F3/0354	G06F3/0354		862
G06F3/0362	11	with detection of 1D translations or rotations of an operating part of the device, e.g. scroll wheels, sliders, knobs, rollers or belts	G06F3/0362	G06F3/0362		3662
G06F3/037	11	using the raster scan of a cathode-ray tube [CRT] for detecting the position of the member, e.g. light pens cooperating with CRT monitors	G06F3/037	G06F3/037		222
G06F3/038	11	Control and interface arrangements therefor, e.g. drivers or device-embedded control circuitry	G06F3/038	G06F3/038		8010
G06F3/0383	12	{Signal control means within the pointing device}	G06F3/038	G06F3/038		3923
G06F3/0386	12	{for light pen}	G06F3/038	G06F3/038		1030
G06F3/039	11	Accessories therefor, e.g. mouse pads	G06F3/039	G06F3/039		1225
G06F3/0393	12	{Accessories for touch pads or touch screens, e.g. mechanical guides added to touch screens for drawing straight lines, hard keys overlaying touch screens or touch pads}	G06F3/039	G06F3/039		1357
G06F3/0395	12	{Mouse pads}	G06F3/039	G06F3/039		1732
G06F3/041	10	Digitisers, e.g. for touch screens or touch pads, characterised by the transducing means	G06F3/041	G06F3/041		23384
G06F3/0412	11	{Digitisers structurally integrated in a display}	G06F3/041	G06F3/041		27923
G06F3/0414	11	{using force sensing means to determine a position}	G06F3/041	G06F3/041		5054
G06F3/04142	12	{the force sensing means being located peripherally, e.g. disposed at the corners or at the side of a touch sensing plate}	G06F3/041	G06F3/041		575
G06F3/04144	12	{using an array of force sensing means (position sensing using the local deformation of sensor cells G06F3/0447)}	G06F3/041	G06F3/041		887
G06F3/04146	12	{using pressure sensitive conductive elements delivering a boolean signal and located between crossing sensing lines, e.g. located between X and Y sensing line layers}	G06F3/041	G06F3/041		165
G06F3/0416	11	{Control or interface arrangements specially adapted for digitisers}	G06F3/041	G06F3/041		15210
G06F3/04162	12	{for exchanging data with external devices, e.g. smart pens, via the digitiser sensing hardware}	G06F3/041	G06F3/041		2130
G06F3/04164	12	{Connections between sensors and controllers, e.g. routing lines between electrodes and connection pads}	G06F3/041	G06F3/041		5991
G06F3/04166	12	{Details of scanning methods, e.g. sampling time, grouping of sub areas or time sharing with display driving (Synchronisation with the driving of the display or the backlighting unit to avoid interferences generated internally G06F3/04184)}	G06F3/041	G06F3/041		6585
G06F3/041661	13	{using detection at multiple resolutions, e.g. coarse and fine scanning; using detection within a limited area, e.g. object tracking window}	G06F3/041	G06F3/041		578
G06F3/041662	13	{using alternate mutual and self-capacitive scanning}	G06F3/041	G06F3/041		513
G06F3/0418	12	{for error correction or compensation, e.g. based on parallax, calibration or alignment}	G06F3/041	G06F3/041		5850
G06F3/04182	13	{Filtering of noise external to the device and not generated by digitiser components}	G06F3/041	G06F3/041		1394
G06F3/04184	13	{Synchronisation with the driving of the display or the backlighting unit to avoid interferences generated internally}	G06F3/041	G06F3/041		1623
G06F3/04186	13	{Touch location disambiguation}	G06F3/041	G06F3/041		2118
G06F3/042	11	by opto-electronic means	G06F3/042	G06F3/042		4472
G06F3/0421	12	{by interrupting or reflecting a light beam, e.g. optical touch-screen}	G06F3/042	G06F3/042		4532
G06F3/0423	13	{using sweeping light beams, e.g. using rotating or vibrating mirror}	G06F3/042	G06F3/042		318
G06F3/0425	12	{using a single imaging device like a video camera for tracking the absolute position of a single or a plurality of objects with respect to an imaged reference surface, e.g. video camera imaging a display or a projection screen, a table or a wall surface, on which a computer generated image is displayed or projected (tracking a projected light spot to determine a position on a display surface G06F3/0386)}	G06F3/042	G06F3/042		2740
G06F3/0426	13	{tracking fingers with respect to a virtual keyboard projected or printed on the surface (virtual keyboards on touch screens G06F3/04886)}	G06F3/042	G06F3/042		639
G06F3/0428	12	{by sensing at the edges of the touch surface the interruption of optical paths, e.g. an illumination plane, parallel to the touch surface which may be virtual (sensing beam interruptions in a planar beam grid of an optical touch-screen G06F3/0421)}	G06F3/042	G06F3/042		1174
G06F3/043	11	using propagating acoustic waves	G06F3/043	G06F3/043		1262
G06F3/0433	12	{in which the acoustic waves are either generated by a movable member and propagated within a surface layer or propagated within a surface layer and captured by a movable member}	G06F3/043	G06F3/043		482
G06F3/0436	12	{in which generating transducers and detecting transducers are attached to a single acoustic waves transmission substrate}	G06F3/043	G06F3/043		499
G06F3/044	11	by capacitive means	G06F3/044	G06F3/044		17706
G06F3/0441	12	{using active external devices, e.g. active pens, for receiving changes in electrical potential transmitted by the digitiser, e.g. tablet driving signals}	G06F3/044	G06F3/044		798
G06F3/0442	12	{using active external devices, e.g. active pens, for transmitting changes in electrical potential to be received by the digitiser}	G06F3/044	G06F3/044		1250
G06F3/0443	12	{using a single layer of sensing electrodes}	G06F3/044	G06F3/044		8312
