F03G7/06115	10	{using materials changing their chemical composition}	F03G7/06	F03G7/06		13
F03G7/0612	10	{using polymers}	F03G7/06	F03G7/06		208
F03G7/0613	10	{using layers of different materials joined together, e.g. bimetals}	F03G7/06	F03G7/06		211
F03G7/0614	10	{using shape memory elements}<br><br><u>WARNING</u><br>Groups F03G7/0614, F03G7/06143, F03G7/06145, F03G7/06146, F03G7/06147 and F03G7/0615 are incomplete pending reclassification of documents from groups F03G7/06 and F03G7/065.<br>All groups listed in this Warning should be considered in order to perform a complete search.	F03G7/06	F03G7/06		895
F03G7/06143	11	{Wires}	F03G7/06	F03G7/06		1006
F03G7/06145	11	{Springs}	F03G7/06	F03G7/06		321
F03G7/06146	11	{Torque tubes or torsion bars}	F03G7/06	F03G7/06		59
F03G7/06147	11	{Magnetic shape memory alloys, e.g. ferro-magnetic alloys}	F03G7/06	F03G7/06		72
F03G7/0615	11	{Training, i.e. setting or adjusting the elongation characteristics of the material}	F03G7/06	F03G7/06		58
F03G7/0616	10	{characterised by the material or the manufacturing process, e.g. the assembly (magnetic shape memory alloys F03G7/06147)}	F03G7/06	F03G7/06		289
F03G7/0618	11	{comprising biological materials}	F03G7/06	F03G7/06		7
F03G7/062	9	{characterised by the activation arrangement}<br><br><u>WARNING</u><br>Group F03G7/062 is incomplete pending reclassification of documents from group F03G7/06.<br>Groups F03G7/06 and F03G7/062 should be considered in order to perform a complete search.	F03G7/06	F03G7/06		377
F03G7/063	9	{characterised by the mechanic interaction}<br><br><u>WARNING</u><br>Groups F03G7/063, F03G7/0631, F03G7/06324, F03G7/0633, F03G7/0634, F03G7/0635 and F03G7/0636 are incomplete pending reclassification of documents from group F03G7/06.<br>All groups listed in this Warning should be considered in order to perform a complete search.	F03G7/06	F03G7/06		29
F03G7/0631	10	{One-way operation, e.g. release mechanism}	F03G7/06	F03G7/06		76
F03G7/06324	10	{increasing or decreasing in volume}	F03G7/06	F03G7/06		43
F03G7/0633	10	{performing a rotary movement}	F03G7/06	F03G7/06		359
F03G7/0634	10	{using cam gearings}	F03G7/06	F03G7/06		12
F03G7/0635	10	{with several elements connected in series}	F03G7/06	F03G7/06		93
F03G7/0636	10	{with several elements connected in parallel}	F03G7/06	F03G7/06		153
F03G7/064	9	{characterised by its use}<br><br><u>WARNING</u><br>Groups F03G7/064, F03G7/0641, F03G7/0645 and F03G7/0646 are incomplete pending reclassification of documents from group F03G7/06.<br>All groups listed in this Warning should be considered in order to perform a complete search.	F03G7/06	F03G7/06		292
F03G7/0641	10	{Motors; Energy harvesting or waste energy recovery}	F03G7/06	F03G7/06		468
F03G7/0645	10	{Clamping, fixing or crimping parts}	F03G7/06	F03G7/06		76
F03G7/0646	10	{for pumping or compressing fluids}	F03G7/06	F03G7/06		79
F03G7/065	9	{using a shape memory element}<br><br><u>WARNING</u><br>Group F03G7/065 is no longer used for the classification of documents as of 2021-08-01.<br>The content of this group is being reclassified into groups F03G7/0614, F03G7/06143, F03G7/06145, F03G7/06146, F03G7/06147 and F03G7/0615.<br>All groups listed in this Warning should be considered in order to perform a complete search.	F03G7/06	F03G7/06		371
F03G7/066	9	{Actuator control or monitoring}<br><br><u>WARNING</u><br>Groups F03G7/066 and F03G7/0665 are incomplete pending reclassification of documents from group F03G7/06.<br>Groups F03G7/06, F03G7/066 and F03G7/0665 should be considered in order to perform a complete search.	F03G7/06	F03G7/06		367
F03G7/0665	10	{controlled displacement, e.g. by using a lens positioning actuator}	F03G7/06	F03G7/06		232
