F42B19/005	｛魚雷用ノーズキャップ；魚雷ケース部品を共に結合させるもの｝
F42B19/01	操舵制御
F42B19/04	深度制御
F42B19/06	方向制御
F42B19/08	横動揺または縦動揺を防止する機構をもつもの
F42B19/10	
F42B19/12	魚雷用に特別に適合した推進（空中運動用推進機構を増備したものＦ４２Ｂ１７／００；水中推進一般Ｂ６３Ｈ）
F42B19/125	｛抗力減少手段を備えた魚雷（抗力減少手段を備えた発射体Ｆ４２Ｂ１０／３８）｝
F42B19/14	圧搾ガス原動機によるもの
F42B19/16	シリンダ形のもの
F42B19/18	タービン形のもの
F42B19/20	推進用ガスの成分に特徴のあるもの，魚雷内でのその製造または加熱
F42B19/22	内燃機関によるもの
F42B19/24	電動機によるもの
F42B19/26	噴射推進によるもの
F42B19/28	航跡を見えなくする手段をもつもの
F42B19/30	推進時間の制御をするもの
F42B19/36	訓練の目的に用いられるもの，例．位置または航路を表示するもの
F42B19/38	魚雷航走の終末において浮上する機構のあるもの
F42B19/40	液体バラストの排除によるもの
F42B19/42	固体バラストの離脱によるもの
F42B19/44	排水量の増加によるもの
F42B19/46	航空機からの射出用のもの
F42B21/00	爆雷（Ｆ４２Ｂ１２／００が優先；演習または訓練用Ｆ４２Ｂ８／２８；敷設に関する事項Ｂ６３Ｇ）
F42B22/00	機雷；例．水上艦船または潜水艦により射出されるもの（Ｆ４２Ｂ１２／００が優先；演習または訓練用Ｆ４２Ｂ８／２８；敷設または掃海Ｂ６３Ｇ）
F42B22/02	触発機雷　｛例．アンテナ型機雷｝（接触信管Ｆ４２Ｃ７／０２）
F42B22/04	感応機雷，例．磁気または音響の作用によるもの
F42B22/06	沈底機雷
F42B22/08	浮遊機雷（推進手段をもつものＦ４２Ｂ１９／００）
F42B22/10	係維機雷
F42B22/12	定深度敷設
F42B22/14	深度に変化をつけた敷設
F42B22/16	機械装置，例．鉛錘および浮具，を用いるもの
F42B22/18	静水力学的装置を用いるもの
F42B22/20	磁気または音響による深度制御機構を用いるもの
F42B22/22	自沈降機構のあるもの
F42B22/24	敷設原または防堰（えん）における機雷の配置（港湾防御用防堰網Ｆ４１Ｈ１１／０５）
F42B22/42	妨掃機構，例．電気的機構，をもつもの
F42B22/44	航空機から射出されるもの
