C03B23/033	連続的方法，例．ロール成形，｛またはプレスロール曲げ｝
C03B23/035	ガスクッションを使用するものまたはガス圧力の変化によるもの，例．真空の適用によるもの｛または曲げながらガラスを支持するための吹き込み｝
C03B23/0352	｛板ガラスを曲げる変形力を与えるための吸引または吹き止めによるもの｝
C03B23/0355	｛板ガラス上に直接吸引しない吹き付けによるもの｝
C03B23/0357	｛吹付を伴わない吸引によるもの，例．真空を伴うものまたはベンチュリ効果によるもの｝
C03B23/037	引き出しによるもの
C03B23/04	管または棒の再成形
C03B23/043	管または棒の再形成一般の為に特に適合された加熱装置，例．バーナ
C03B23/045	管または棒の再形成一般のために特に適合された工具または装置，例．ガラス旋盤，チャック（Ｃ０３Ｂ２３／０４３が優先）
C03B23/047	引伸し成形によるもの（｛Ｃ０３Ｂ２３／０９１｝，Ｃ０３Ｂ３７／０２５が優先）
C03B23/0473	｛圧縮部の形成のためのもの｝
C03B23/0476	｛成形型上へのもの，例．マンドレルまたはワイヤ｝
C03B23/049	プレス成形によるもの（Ｃ０３Ｂ２１／０４，｛Ｃ０３Ｂ２３／０９２｝，Ｃ０３Ｂ２３／２６が優先）
C03B23/0493	｛長手方向でのもの，例．据え込みまたは押し出しのためのもの｝
C03B23/0496	｛放射状に拡張するためのもの，例．管または棒を通じてマンドレルに力を加えるもの｝
C03B23/051	重力によるもの，例．垂下｛（Ｃ０３Ｂ２３／０９３が優先）｝
C03B23/053	遠心力によるもの（｛Ｃ０３Ｂ２３／０９４｝，Ｃ０３Ｂ３７／０４が優先）
C03B23/055	ロール成形によるもの｛（Ｃ０３Ｂ２３／０９５が優先）｝
C03B23/057	溶融によるもの，例．火炎封止のためのもの（Ｃ０３Ｂ９／４２，Ｃ０３Ｂ２１／０６，｛Ｃ０３Ｂ２３／０９９｝，Ｃ０３Ｂ３３／０８が優先）
C03B23/06	曲げによるもの｛（Ｃ０３Ｂ２３／０９６が優先）｝
C03B23/065	｛ただひとつの平面でのもの，例．環状のネオン管の製造のためのもの｝
C03B23/07	ブローによるもの，例．電球真空管バルブの製造のためのもの｛（Ｃ０３Ｂ２３／０９７が優先）｝
C03B23/073	｛バキュムブローイング｝
C03B23/076	｛マンドレル上へのガラス管の収縮｝
C03B23/08	精密寸法への再成形，例．目盛り付け
C03B23/09	端部の再成形，例．溝，筋または口
C03B23/091	｛引き出しによるもの｝
C03B23/092	｛プレス成形によるもの｝
C03B23/093	｛重力によるもの，例．垂下｝
C03B23/094	｛遠心力によるもの｝
C03B23/095	｛ロール成形によるもの｝
C03B23/096	｛曲げによるもの｝
C03B23/097	｛ブローによるもの｝
C03B23/098	｛バキュムブローイング｝
C03B23/099	｛溶融によるもの，例．火炎封止｝
C03B23/11	ブロー以外の，引き出しによる，分離と組合せた再成形，例．アンプルの製造のためのもの
C03B23/112	｛一またはそれ以上の成形場所を通じて，垂直軸の周りにカーブを描いた経路で，管または棒を輸送するための装置｝
C03B23/114	｛これらの機械に管または棒を供給するための装置｝
C03B23/116	｛一またはそれ以上の成形場所を通じて，水平軸の周りにカーブを描いた経路で，管または棒を輸送するための装置｝
