C04B18/142	｛製鋼スラグ，転炉スラグ｝
C04B18/143	｛Ｌ．Ｄ．スラグ，すなわち，リンツドナウィツツスラグ｝
C04B18/144	｛鉄以外の特定の金属または特定の合金の製造からのスラグ，例．フェロクロムスラグ｝
C04B18/145	｛りんスラグ｝
C04B18/146	｛シリカヒューム｝
C04B18/147	｛調整｝
C04B18/148	｛シリカヒュームのスラリーまたは懸濁物の調製｝
C04B18/149	｛シリカヒュームまたはスラグ以外のもの｝
C04B18/16	建築またはセラミック工業からのもの　｛（廃コンクリートスラリーのための分離プラントＢ０３Ｂ９／０６３）｝
C04B18/162	｛セメントキルンダスト；ライムキルンダスト｝
C04B18/165	｛セラミック廃棄物｝
C04B18/167	｛再生材料，すなわち，同じ材料の生産に再利用される廃材料｝
C04B18/18	有機的なもの（Ｃ０４Ｂ１８／１０が優先）
C04B18/20	高分子化合物からのもの｛（再生された発泡ポリスチレンＣ０４Ｂ１６／０８）｝
C04B18/22	ゴム，｛例．粉砕された廃タイヤ｝
C04B18/24	植物屑，例．もみがら，トウモロコシ屑；セルロース質材料，例．紙，｛コルク｝
C04B18/241	｛紙，例．古紙；紙パルプ｝
C04B18/243	｛紙の製造または紙の再生からの廃棄物，例．脱墨スラッジ（燃焼された紙製造廃棄物Ｃ０４Ｂ１８／１０）｝
C04B18/245	｛コルク；樹皮｝
C04B18/246	｛膨張されたもの｝
C04B18/248	｛特定の植物からのもの，例．大麻繊維｝
C04B18/26	木材，例．鋸屑，かんな屑
C04B18/265	｛特定の種からのもの，例．樺材｝
C04B18/28	鉱物化；そのための組成物
C04B18/30	混合廃棄物；組成不明の廃棄物（Ｃ０４Ｂ１８／１０が優先）
C04B18/305	｛都市廃棄物｝
C04B20/00	モルタル，コンクリート，または人造石のための充てん材として，グループＣ０４Ｂ１４／００〜Ｃ０４Ｂ１８／００の二以上に属する，形状または粒度分布に特徴のある物質の使用；グループＣ０４Ｂ１４／００〜Ｃ０４Ｂ１８／００の二以上に属し，モルタル，コンクリートまたは人造石に対する充てん性を向上させるのに特に適合する物質の処理；物質の膨張または解繊<br><br><u>注</u><br><br>粒子状以外の明確な形状の充填剤は補強要素とみなされ，そのようなものはＥ０４Ｃ５／００に分類される。しかしながら，それらがその組成のみにより特徴付けられるならＣ０４Ｂのみに分類される。
C04B20/0004	｛マイクロ複合材またはナノ複合材，例．無機材料上にモノマーを重合することにより得られる複合材粒子｝
C04B20/0008	｛Ｃ０４Ｂ２０／００１６〜Ｃ０４Ｂ２０／００５６に含まれない形状で特定される材料，例．ナノチューブ｝
C04B20/0012	｛不規則な形状をした充填剤｝
C04B20/0016	｛粒状材料，例．マイクロバルーン｝
C04B20/002	｛中空または多孔質粒状材料｝
C04B20/0024	｛その場で膨張されるもの，すなわち，材料が，モルタル，コンクリートまたは人造石混合物の初期成形後膨張されるかまたは中空を形成されるもの（Ｃ０４Ｂ１６／０８５が優先）｝
C04B20/0028	｛押しつぶせるもの｝
C04B20/0032	｛ガス充填孔に特徴があるもの，例．減圧下での不活性ガスまたは空気｝
C04B20/0036	｛マイクロサイズまたはナノサイズ｝
C04B20/004	｛無機｝
C04B20/0044	｛不規則的に成形された粒子から得られるもの｝
C04B20/0048	｛繊維状材料｝
C04B20/0052	｛異なった物理的性質，例．異なった長さ，を持った繊維の混合物｝
C04B20/0056	｛中空または多孔質繊維｝
C04B20/006	｛マイクロファイバーまたはナノファイバー｝
C04B20/0064	｛粉砕された繊維｝
C04B20/0068	｛繊維複合材，例．異なった材料の芯およびさやを持った繊維｝
C04B20/0072	｛連続繊維｝
C04B20/0076	｛粒径分布に特徴があるもの｝
C04B20/008	｛マイクロサイズまたはナノサイズの充填剤，例．水硬性結合剤よりも小さい粒径の微粒子化された充填剤（コロイドシリカＣ０４Ｂ１４／０６２；シリカフュームＣ０４Ｂ１８／１４６）｝
C04B20/0084	｛調整，例．その懸濁物の調製（Ｃ０４Ｂ１８／１４８が優先）｝
C04B20/0088	｛単一のまたは狭い粒径分布を持つ充填剤｝
C04B20/0092	｛細かい粒径のみの充填剤｝
C04B20/0096	｛二峰性の粒径分布を持つ充填剤｝
C04B20/02	処理
C04B20/023	｛化学的処理｝
C04B20/0232	
C04B20/026	｛粉末化，例．粉砕または破砕によるもの；アスベスト以外の繊維の解繊｝
C04B20/04	熱処理
C04B20/06	膨張粘土，パーライト，ひる石または類似の粒状材料
C04B20/061	｛ロータリーキルンで｝
C04B20/063	｛格子焼結によるもの｝
C04B20/065	｛流動床で｝
C04B20/066	｛高炉または垂直炉で｝
C04B20/068	｛熱処理の前または間に添加される成分，例．膨張促進剤または粒子被覆材，の選択｝
C04B20/08	石綿の解繊｛（他の繊維の解繊Ｃ０４Ｂ２０／０２６）｝
C04B20/10	被覆または含浸｛（屋根葺き用粒状物Ｅ０４Ｄ７／００５）｝
C04B20/1003	｛被覆または含浸の非組成的事項｝
C04B20/1007	｛多孔質または軽量の被覆｝
C04B20/1011	｛一時的な被覆｝
C04B20/1014	｛形状，例．繊維状材料，に特徴がある被覆または含浸材料｝
C04B20/1018	｛有機材料によるもの（顔料または染料Ｃ０４Ｂ２０／１０９６）｝
C04B20/1022	｛非高分子化合物｝
C04B20/1025	｛脂肪；脂肪油；エステルタイプのワックス；高級脂肪酸；その誘導体｝
