B05B1/00	弁，加熱手段等の補助装置を有するまたはこれらを有しないノズル，スプレーヘッドまたは他の排出口（Ｂ０５Ｂ３／００，Ｂ０５Ｂ５／００，Ｂ０５Ｂ７／００が優先；｛水または気体の噴流を有する浴槽のためのノズルＡ６１Ｈ３３／００，例．Ａ６１Ｈ３３／６０６３，Ａ６１Ｈ３３／６０２１，Ａ６１Ｈ３３／０２６またはＡ６１Ｈ３３／０２７；消火に特に適合したノズルＡ６２Ｃ３１／０２；高速研削性流体噴射を発生させるためのノズルＢ２４Ｃ５／０４｝；インクジェットプリンティング機構のためのノズルＢ４１Ｊ２／１３５；｛容器を充填するためのノズルＢ６５Ｂ３９／００｝；液体分配ノズル，例．車両サービスステーションにおけるもの，Ｂ６７Ｄ７／４２）<br><br><u>警告</u><br><br>グループＢ０５Ｂ１／００はグループＢ０５Ｂ１／００２への再分類の影響を受ける。<br>グループＢ０５Ｂ１／００およびＢ０５Ｂ１／００２はコンプリートサーチの完遂のために考慮されるべきである。
B05B5/0537	｛標的と真の接地，すなわち，ワイヤまたは同様のものの直接的な電荷戻り経路を用いるもの，ではない噴霧装置との間の電荷戻り経路，例．浮動電極，からなるもの｝
B05B5/0538	｛操作器が標的と装置との間の電荷戻り経路の一部であるもの｝
B05B5/057	ガンまたはノズルを用いないで液体または他の流動性材料を放出するための装置
B05B5/06	電気アークを用いるもの
B05B5/08	対象物に液体または他の流動性材料を適用するための設備
B05B5/081	｛粒状材料の処理に特に適合されたもの｝
B05B5/082	｛対象物を支持または運搬するための手段に特徴のあるもの｝
B05B5/084	｛対象物が運搬手段．例．運搬ベルト，の上に載置される，または支持されるもの｝
B05B5/085	｛車両上に装備される設備｝
B05B5/087	｛電極の装置，例．電極を充電，遮蔽し収集するもの（Ｂ０５Ｂ５／１２，Ｂ０５Ｂ５／１４が優先；排出装置上の電極の装置Ｂ０５Ｂ５／０５３３）｝
B05B5/088	｛電界カーテンを生じるためのもの｝
B05B5/10	動力，例．荷電用電力，の供給装置（放出装置におけるものＢ０５Ｂ５／０５３）
B05B5/12	中空体の内部の被覆に特に適合するもの
B05B5/14	移動する長尺物，例．ワイヤ，ストリップ，パイプ，の連続的被覆に特に適合するもの
B05B5/16	液体または他の流動性材料の供給装置
B05B5/1608	｛液体または他の流動性材料が電気的に導電性であるもの｝
B05B5/1616	｛および材料に印加される高電圧から接地材料源を絶縁するための手段から構成される装置｝
B05B5/1625	｛絶縁手段が充填用に接地材料源に交互に接続され，そして外されてそれから電気的に絶縁ている中間容器から構成されるもの｝
B05B5/1633	｛その装置が，各々がそのような中間容器から構成されている，平行に配置されている数本の供給線から構成されるもの｝
B05B5/1641	｛追加的な容器が中間容器の下流に備えられているもの｝
B05B5/165	｛物質を個別の量，例．小滴，に分割することによるもの｝
B05B5/1658	｛細部｝
B05B5/1666	｛電圧遮断弁，例．軸方向に分離可能な結合要素を有するもの｝
B05B5/1675	｛供給手段がピストンからなるもの，例．ピストンポンプ｝
B05B5/1683	｛粒状材料に特に適合されたもの｝
B05B5/1691	｛人によって移動可能であるまたは放出装置に固定された容器を有する装置｝
